,%polar,total sasa,apolar,polar,,,,,,,,,,,,,,,
93,12.4493,401.999,351.953,50.0461,,,,,,,,,,,,,,,
94,13.2352,412.695,358.074,54.6212,,,,,,,,,,,,,,,
95,8.13422,302.841,278.207,24.6338,,,,,,,,,,,,,,,
96,8.93019,281.587,256.441,25.1463,,,,,,,,,,,,,,,
97,9.39145,213.568,193.511,20.0571,,,,,,,,,,,,,,,
98,0,131.943,131.943,0,,,,,,,,,,,,,,,
99,0,153.941,153.941,0,,,,,,,,,,,,,,,
100,0,130.799,130.799,0,,,,,,,,,,,,,,,
101,0,107.273,107.273,0,,,,,,,,,,,,,,,
102,9.62199,325.991,294.624,31.3668,,,,,,,,,,,,,,,
103,24.7743,303.744,228.494,75.2504,,,,,,,,,,,,,,,
104,14.0898,305.09,262.103,42.9866,,,,,,,,,,,,,,,
105,18.3468,280.923,229.383,51.5404,,,,,,,,,,,,,,,
106,0,147.065,147.065,0,,,,,,,,,,,,,,,
107,0,127.456,127.456,0,,,,,,,,,,,,,,,
108,10.6298,316.835,283.156,33.6788,,,,,,,,,,,,,,,
109,14.5908,302.217,258.121,44.096,,,,,,,,,,,,,,,
110,0,142.871,142.871,0,,,,,,,,,,,,,,,
111,14.5307,329.18,281.348,47.8321,,,,,,,,,,,,,,,
112,14.4846,188.229,160.964,27.2642,,,,,,,,,,,,,,,
113,7.86518,355.821,327.835,27.986,,,,,,,,,,,,,,,
114,0,59.8607,59.8607,0,,,,,,,,,,,,,,,
115,9.44749,442.727,400.9,41.8265,,,,,,,,,,,,,,,
116,11.5342,382.928,338.76,44.1677,,,,,,,,,,,,,,,
117,7.11349,154.119,143.156,10.9633,,,,,,,,,,,,,,,
118,36.2425,229.65,146.419,83.2308,,,,,,,,,,,,,,,
119,0,103.282,103.282,0,,,,,,,,,,,,,,,
120,15.2337,174.755,148.133,26.6217,,,,,,,,,,,,,,,
121,0,114.539,114.539,0,,,,,,,,,,,,,,,
122,24.8209,195.132,146.699,48.4336,,,,,,,,,,,,,,,
123,0,118.903,118.903,0,,,,,,,,,,,,,,,
124,13.1191,447.268,388.59,58.6773,,,,,,,,,,,,,,,
125,10.8832,346.949,309.189,37.7592,,,,,,,,,,,,,,,
